xid,0.001,0.005,0.01,0.02,ead
460,29.96,29.96,7.49,0.0,0.281
461,101.512,101.512,83.037,0.0,1.384
462,167.929,167.929,167.929,37.28,11.653
463,91.205,91.205,91.205,0.0,1.368
464,174.383,174.383,165.141,100.968,27.284
465,217.809,217.809,217.809,170.544,45.05
466,129.495,138.795,9.299,0.0,1.082
467,79.23,79.23,79.23,17.589,5.498
468,101.563,101.563,101.563,18.484,6.052
469,138.791,138.791,138.791,73.976,20.206
470,92.975,92.975,92.975,65.083,17.34
471,59.282,59.282,59.282,0.0,0.889
472,34.006,34.006,34.006,0.0,0.51
473,75.766,75.766,75.766,47.354,12.738
474,134.27,134.27,134.27,116.412,30.535
475,72.1,72.1,72.1,54.075,14.33
476,30.054,30.054,30.054,30.054,7.814
477,57.645,57.645,57.645,57.645,14.988
478,197.595,197.595,197.595,0.0,2.964
479,198.781,198.781,170.355,75.735,21.324
480,61.282,61.282,61.282,0.0,0.919
481,102.766,102.766,102.766,37.407,10.706
482,106.156,106.156,79.617,61.889,16.556
483,160.587,160.587,94.425,37.738,11.158
484,34.531,34.531,34.531,34.531,8.978
485,72.922,72.922,72.922,72.922,18.96
486,166.326,166.326,166.326,166.326,43.245
487,165.185,165.185,165.185,0.0,2.478
488,221.313,175.28,0.0,0.0,1.458
489,103.151,103.151,103.151,0.0,1.547
490,100.779,100.779,100.779,64.096,17.215
491,127.496,127.496,127.496,0.0,1.912
492,89.124,89.124,62.386,0.0,1.136
493,88.135,88.135,35.254,0.0,0.925
494,124.886,0.0,0.0,0.0,0.39
495,136.306,72.651,0.0,0.0,0.744
496,47.074,47.074,9.415,0.0,0.424
497,126.847,126.847,72.43,0.0,1.495
498,50.783,50.783,50.783,0.0,0.762
499,37.659,37.659,37.659,0.0,0.565
500,150.685,150.685,150.685,0.0,2.26
501,53.262,53.262,53.262,53.262,13.848
502,87.736,87.736,87.736,0.0,1.316
503,126.865,126.865,126.865,0.0,1.903
504,127.007,127.007,127.007,0.0,1.905
505,83.641,83.641,46.504,0.0,0.976
506,107.171,107.171,107.171,71.483,19.121
507,103.22,103.22,103.22,103.22,26.837
508,125.589,125.589,125.589,53.878,15.084
509,60.972,60.972,60.972,60.972,15.853
510,117.066,117.066,117.066,90.024,23.812
511,104.562,104.562,104.562,28.545,8.562
512,182.743,182.743,182.743,0.0,2.741
513,95.88,95.88,43.53,0.0,1.046
514,62.17,62.17,0.0,0.0,0.466
515,181.637,181.637,181.637,172.01,44.867
516,93.996,93.996,93.996,18.799,6.016
517,151.916,151.916,151.916,0.0,2.279
518,124.618,115.77,0.0,0.0,0.896
519,56.492,47.058,18.812,0.0,0.524
520,16.132,16.132,0.0,0.0,0.121
521,92.57,83.313,55.542,0.0,1.07
522,82.349,82.349,82.349,0.0,1.235
523,91.866,91.866,64.306,9.187,3.422
524,128.115,128.115,128.115,109.795,28.822
525,200.378,200.378,200.378,114.416,31.038
526,106.9,106.9,106.9,0.0,1.604
527,251.54,251.54,251.54,251.54,65.4
528,52.298,52.298,52.298,52.298,13.597
529,52.186,52.186,52.186,52.186,13.568
530,97.166,97.166,97.166,97.166,25.263
531,106.51,106.51,106.51,106.51,27.693
532,232.143,232.143,232.143,232.143,60.357
533,235.444,0.0,0.0,0.0,0.736
534,230.833,230.833,230.833,230.833,60.017
535,47.694,47.694,47.694,47.694,12.4
536,56.393,56.393,56.393,56.393,14.662
537,50.982,0.0,0.0,0.0,0.159
